id_video,c1_nature,c2_nature,c3_nature,c4_nature,c5_nature,c6_nature,c7_nature,c8_nature
TC24230,Iconic,Iconic,Iconic,Iconic,Pantomimic,Pantomimic,Deictic,Symbolic
TC24231,Iconic,Iconic,Symbolic,Symbolic,Iconic,Iconic,Symbolic,Symbolic
TC24232,Iconic,Iconic,Iconic,Symbolic,Metaphoric,Symbolic,Symbolic,Symbolic
TC24233,Metaphoric,Metaphoric,Pantomimic,Iconic,Pantomimic,Pantomimic,Symbolic,Pantomimic
TC24234,Iconic,Iconic,Iconic,Iconic,Symbolic,Symbolic,Iconic,Iconic
TC24235,Iconic,Symbolic,Pantomimic,Pantomimic,Symbolic,Symbolic,Symbolic,Symbolic
TC24236,Iconic,Iconic,Symbolic,Iconic,Pantomimic,Pantomimic,Symbolic,Pantomimic
TC24237,Iconic,Iconic,Metaphoric,Symbolic,Iconic,Iconic,Deictic,Symbolic
TC24238,Pantomimic,Pantomimic,Symbolic,Symbolic,Pantomimic,Pantomimic,Deictic,Pantomimic
TC24239,Deictic,Deictic,Symbolic,Symbolic,Metaphoric,Symbolic,Deictic,Symbolic
TC24240,Iconic,Pantomimic,Symbolic,Metaphoric,Metaphoric,Metaphoric,Iconic,Iconic
TC24241,Iconic,Iconic,Iconic,Iconic,Iconic,Iconic,Deictic,Symbolic
TC24242,Iconic,Iconic,Metaphoric,Symbolic,Metaphoric,Pantomimic,Symbolic,Iconic
TC24243,Symbolic,Symbolic,Symbolic,Symbolic,Pantomimic,Iconic,Symbolic,Symbolic
TC24244,Iconic,Iconic,Iconic,Iconic,Iconic,Iconic,Deictic,Metaphoric
TC24245,Iconic,Iconic,Symbolic,Pantomimic,Symbolic,Iconic,Deictic,Symbolic
TC24246,Deictic,Deictic,Iconic,Iconic,Metaphoric,Iconic,Deictic,Symbolic
TC24247,Iconic,Iconic,Symbolic,Symbolic,Metaphoric,Metaphoric,Symbolic,Iconic
TC24248,Iconic,Iconic,Iconic,Deictic,Iconic,Iconic,Symbolic,Deictic
TC24249,Iconic,Iconic,Symbolic,Symbolic,Metaphoric,Pantomimic,Symbolic,Symbolic
TC24250,Iconic,Pantomimic,Pantomimic,Symbolic,Pantomimic,Metaphoric,Symbolic,Symbolic
TC24251,Pantomimic,Pantomimic,Symbolic,Iconic,Symbolic,Symbolic,Deictic,Symbolic
TC24252,Iconic,Iconic,Symbolic,Symbolic,Iconic,Iconic,Deictic,Symbolic
TC24253,Iconic,Iconic,Iconic,Iconic,Pantomimic,Pantomimic,Deictic,Pantomimic
TC24254,Iconic,Iconic,Metaphoric,Metaphoric,Pantomimic,Iconic,Deictic,Iconic
TC24255,Pantomimic,Pantomimic,Iconic,Iconic,Symbolic,Symbolic,Iconic,Symbolic
TC24256,Symbolic,Pantomimic,Symbolic,Iconic,Metaphoric,Symbolic,Symbolic,Metaphoric
TC24257,Iconic,Iconic,Iconic,Iconic,Pantomimic,Pantomimic,Symbolic,Iconic
TC24258,Iconic,Iconic,Pantomimic,Iconic,Pantomimic,Iconic,Pantomimic,Iconic
TC24259,Iconic,Symbolic,Iconic,Iconic,Pantomimic,Pantomimic,Symbolic,Iconic
TC24260,Iconic,Iconic,Iconic,Pantomimic,Iconic,Symbolic,Deictic,Iconic
TC24261,Symbolic,Iconic,Symbolic,Pantomimic,Iconic,Iconic,Deictic,Pantomimic
TC24262,Iconic,Iconic,Iconic,Iconic,Iconic,Iconic,Deictic,Pantomimic
TC24263,Deictic,Deictic,Iconic,Iconic,Iconic,Iconic,Deictic,Pantomimic
TC24264,Pantomimic,Pantomimic,Iconic,Iconic,Metaphoric,Metaphoric,Symbolic,Deictic
TC24265,Iconic,Iconic,Iconic,Iconic,Symbolic,Symbolic,Symbolic,Iconic
TC24266,Iconic,Pantomimic,Iconic,Iconic,Iconic,Symbolic,Deictic,Symbolic
TC24267,Iconic,Iconic,Symbolic,Pantomimic,Iconic,Iconic,Symbolic,Pantomimic
TC24268,Iconic,Pantomimic,Iconic,Symbolic,Symbolic,Symbolic,Symbolic,Symbolic
TC24269,Iconic,Iconic,Symbolic,Pantomimic,Iconic,Pantomimic,Symbolic,Iconic
TC24270,Pantomimic,Iconic,Metaphoric,Pantomimic,Symbolic,Pantomimic,Deictic,Symbolic
TC24271,Deictic,Deictic,Symbolic,Symbolic,Symbolic,Symbolic,Symbolic,Pantomimic
TC24272,Iconic,Iconic,Metaphoric,Metaphoric,Pantomimic,Symbolic,Symbolic,Symbolic
TC24273,Iconic,Pantomimic,Iconic,Pantomimic,Iconic,Iconic,Symbolic,Iconic
TC24274,Iconic,Iconic,Iconic,Iconic,Pantomimic,Symbolic,Symbolic,Iconic
TC24275,Iconic,Iconic,Iconic,Iconic,Metaphoric,Metaphoric,Deictic,Metaphoric
TC24276,Iconic,Pantomimic,Iconic,Iconic,Symbolic,Symbolic,Symbolic,Symbolic
TC24277,Deictic,Deictic,Symbolic,Iconic,Iconic,Pantomimic,Symbolic,Iconic
TC24278,Deictic,Deictic,Iconic,Symbolic,Iconic,Symbolic,Symbolic,Symbolic
TC24279,Iconic,Iconic,Iconic,Iconic,Metaphoric,Iconic,Deictic,Symbolic
TC24280,Iconic,Iconic,Iconic,Deictic,Pantomimic,Iconic,Pantomimic,Iconic
TC24281,Iconic,Iconic,Iconic,Iconic,Symbolic,Iconic,Pantomimic,Pantomimic
TC24282,Iconic,Pantomimic,Deictic,Iconic,Symbolic,Iconic,Symbolic,Iconic
TC24283,Iconic,Iconic,Iconic,Symbolic,Symbolic,Iconic,Symbolic,Symbolic
TC24284,Pantomimic,Pantomimic,Iconic,Iconic,Metaphoric,Metaphoric,Symbolic,Pantomimic
TC24285,Symbolic,Symbolic,Iconic,Pantomimic,Iconic,Iconic,Symbolic,Symbolic
TC24286,Symbolic,Symbolic,Symbolic,Symbolic,Metaphoric,Deictic,Symbolic,Symbolic
TC24287,Iconic,Iconic,Metaphoric,Deictic,Metaphoric,Pantomimic,Deictic,Iconic
TC24289,Iconic,Iconic,Pantomimic,Iconic,Iconic,Iconic,Symbolic,Symbolic
TC24290,Iconic,Iconic,Metaphoric,Iconic,Iconic,Pantomimic,Symbolic,Symbolic
TC24291,Pantomimic,Pantomimic,Iconic,Iconic,Metaphoric,Metaphoric,Symbolic,Pantomimic
TC24292,Iconic,Iconic,Symbolic,Pantomimic,Iconic,Iconic,Deictic,Symbolic
TC24293,Symbolic,Symbolic,Pantomimic,Iconic,Metaphoric,Pantomimic,Deictic,Iconic
TC24294,Iconic,Iconic,Symbolic,Deictic,Symbolic,Symbolic,Deictic,Metaphoric
TC24295,Iconic,Iconic,Iconic,Pantomimic,Symbolic,Iconic,Symbolic,Symbolic
TC24296,Iconic,Symbolic,Metaphoric,Iconic,Iconic,Iconic,Symbolic,Symbolic
TC24297,Iconic,Iconic,Pantomimic,Pantomimic,Pantomimic,Pantomimic,Symbolic,Iconic
TC24298,Iconic,Iconic,Iconic,Iconic,Metaphoric,Iconic,Deictic,Symbolic
TC24299,Iconic,Iconic,Symbolic,Symbolic,Pantomimic,Pantomimic,Deictic,Iconic
TC24300,Symbolic,Pantomimic,Symbolic,Iconic,Symbolic,Symbolic,Symbolic,Symbolic
TC24302,Iconic,Iconic,Symbolic,Iconic,Iconic,Iconic,Deictic,Iconic
TC24303,Symbolic,Symbolic,Iconic,Symbolic,Iconic,Symbolic,Deictic,Iconic
TC24304,Iconic,Iconic,Deictic,Deictic,Deictic,Deictic,Deictic,Pantomimic
TC24305,Iconic,Iconic,Deictic,Deictic,Symbolic,Symbolic,Symbolic,Iconic
