id_video,c1_nature,c2_nature,c3_nature,c4_nature,c5_nature,c6_nature,c7_nature,c8_nature
TC24255,Pantomimic,Pantomimic,Pantomimic,Pantomimic,Symbolic,Symbolic,Iconic,Symbolic
TC24256,Pantomimic,Pantomimic,Symbolic,Iconic,Metaphoric,Symbolic,Symbolic,Metaphoric
TC24257,Iconic,Iconic,Iconic,Iconic,Pantomimic,Pantomimic,Symbolic,Iconic
TC24258,Iconic,Iconic,Pantomimic,Iconic,Pantomimic,Pantomimic,Pantomimic,Iconic
TC24259,Iconic,Iconic,Iconic,Iconic,Pantomimic,Pantomimic,Symbolic,Iconic
TC24260,Iconic,Iconic,Iconic,Pantomimic,Iconic,Symbolic,Deictic,Pantomimic
TC24261,Symbolic,Iconic,Symbolic,Pantomimic,Iconic,Iconic,Deictic,Pantomimic
TC24262,Iconic,Iconic,Iconic,Iconic,Iconic,Iconic,Deictic,Pantomimic
TC24263,Deictic,Deictic,Iconic,Iconic,Pantomimic,Iconic,Deictic,Pantomimic
TC24264,Pantomimic,Pantomimic,Pantomimic,Iconic,Metaphoric,Pantomimic,Symbolic,Deictic
TC24265,Iconic,Iconic,Iconic,Iconic,Symbolic,Symbolic,Symbolic,Pantomimic
TC24266,Iconic,Pantomimic,Pantomimic,Iconic,Iconic,Symbolic,Deictic,Symbolic
TC24267,Iconic,Iconic,Symbolic,Pantomimic,Iconic,Iconic,Symbolic,Pantomimic
TC24268,Iconic,Pantomimic,Pantomimic,Symbolic,Symbolic,Symbolic,Symbolic,Symbolic
TC24269,Iconic,Pantomimic,Symbolic,Pantomimic,Pantomimic,Pantomimic,Symbolic,Iconic
TC24270,Pantomimic,Iconic,Metaphoric,Pantomimic,Symbolic,Pantomimic,Deictic,Symbolic
TC24271,Deictic,Deictic,Symbolic,Symbolic,Symbolic,Symbolic,Symbolic,Pantomimic
TC24272,Iconic,Iconic,Metaphoric,Metaphoric,Pantomimic,Symbolic,Symbolic,Symbolic
TC24273,Pantomimic,Pantomimic,Iconic,Pantomimic,Pantomimic,Iconic,Symbolic,Pantomimic
TC24274,Iconic,Iconic,Iconic,Iconic,Pantomimic,Pantomimic,Symbolic,Iconic
TC24275,Iconic,Iconic,Iconic,Iconic,Metaphoric,Metaphoric,Deictic,Metaphoric
TC24276,Pantomimic,Pantomimic,Iconic,Iconic,Pantomimic,Pantomimic,Symbolic,Symbolic
TC24277,Deictic,Deictic,Metaphoric,Iconic,Pantomimic,Pantomimic,Symbolic,Pantomimic
TC24278,Deictic,Pantomimic,Pantomimic,Symbolic,Pantomimic,Symbolic,Symbolic,Symbolic
TC24279,Iconic,Iconic,Pantomimic,Iconic,Metaphoric,Iconic,Deictic,Symbolic
TC24280,Iconic,Iconic,Pantomimic,Pantomimic,Pantomimic,Iconic,Pantomimic,Pantomimic
TC24281,Iconic,Iconic,Iconic,Iconic,Symbolic,Iconic,Pantomimic,Pantomimic
TC24282,Iconic,Pantomimic,Deictic,Deictic,Symbolic,Iconic,Symbolic,Iconic
TC24283,Iconic,Iconic,Pantomimic,Symbolic,Symbolic,Iconic,Symbolic,Symbolic
TC24284,Pantomimic,Pantomimic,Iconic,Iconic,Metaphoric,Metaphoric,Symbolic,Pantomimic
TC24285,Symbolic,Pantomimic,Pantomimic,Pantomimic,Deictic,Iconic,Metaphoric,Pantomimic
TC24286,Deictic,Deictic,Symbolic,Pantomimic,Metaphoric,Deictic,Pantomimic,Symbolic
TC24287,Iconic,Iconic,Pantomimic,Deictic,Pantomimic,Pantomimic,Deictic,Iconic
TC24289,Iconic,Iconic,Pantomimic,Iconic,Iconic,Iconic,Symbolic,Symbolic
TC24290,Iconic,Iconic,Metaphoric,Iconic,Pantomimic,Pantomimic,Symbolic,Symbolic
TC24291,Pantomimic,Pantomimic,Iconic,Iconic,Metaphoric,Metaphoric,Symbolic,Pantomimic
TC24292,Iconic,Iconic,Symbolic,Pantomimic,Iconic,Iconic,Deictic,Symbolic
TC24293,Symbolic,Symbolic,Pantomimic,Iconic,Metaphoric,Pantomimic,Deictic,Iconic
TC24294,Iconic,Iconic,Symbolic,Deictic,Symbolic,Symbolic,Deictic,Metaphoric
TC24295,Iconic,Iconic,Iconic,Pantomimic,Symbolic,Iconic,Symbolic,Symbolic
TC24296,Iconic,Iconic,Metaphoric,Iconic,Iconic,Iconic,Symbolic,Symbolic
TC24297,Iconic,Iconic,Pantomimic,Pantomimic,Pantomimic,Pantomimic,Symbolic,Pantomimic
TC24298,Iconic,Iconic,Iconic,Iconic,Metaphoric,Pantomimic,Deictic,Symbolic
TC24299,Iconic,Iconic,Symbolic,Deictic,Pantomimic,Pantomimic,Deictic,Pantomimic
TC24300,Pantomimic,Pantomimic,Symbolic,Iconic,Symbolic,Symbolic,Symbolic,Symbolic
TC24302,Iconic,Iconic,Symbolic,Iconic,Pantomimic,Iconic,Deictic,Pantomimic
TC24303,Symbolic,Symbolic,Iconic,Symbolic,Pantomimic,Symbolic,Deictic,Iconic
TC24304,Iconic,Iconic,Pantomimic,Pantomimic,Pantomimic,Pantomimic,Deictic,Pantomimic
TC24305,Iconic,Pantomimic,Deictic,Deictic,Symbolic,Symbolic,Symbolic,Iconic
