id_video,c1_locale,c2_locale,c3_locale,c4_locale,c5_locale,c6_locale,c7_locale,c8_locale
TC24226,No Self Interaction,No Self Interaction,No Self Interaction,No Self Interaction,No Self Interaction,No Self Interaction,No Self Interaction,No Self Interaction
TC24227,No Self Interaction,No Self Interaction,Mouth Interaction,Mouth Interaction,Eyes Interaction,Mouth Interaction,No Self Interaction,No Self Interaction
TC24228,No Self Interaction,No Self Interaction,Mouth Interaction,No Self Interaction,No Self Interaction,No Self Interaction,No Self Interaction,No Self Interaction
TC24229,No Self Interaction,No Self Interaction,Mouth Interaction,No Self Interaction,No Self Interaction,No Self Interaction,No Self Interaction,Other Self Interaction
TC24230,No Self Interaction,No Self Interaction,No Self Interaction,No Self Interaction,No Self Interaction,No Self Interaction,No Self Interaction,No Self Interaction
TC24231,No Self Interaction,No Self Interaction,Mouth Interaction,Mouth Interaction,No Self Interaction,No Self Interaction,No Self Interaction,No Self Interaction
TC24232,No Self Interaction,No Self Interaction,No Self Interaction,No Self Interaction,Other Self Interaction,No Self Interaction,No Self Interaction,No Self Interaction
TC24233,No Self Interaction,No Self Interaction,No Self Interaction,No Self Interaction,No Self Interaction,No Self Interaction,No Self Interaction,No Self Interaction
TC24234,No Self Interaction,No Self Interaction,No Self Interaction,No Self Interaction,No Self Interaction,No Self Interaction,No Self Interaction,No Self Interaction
TC24235,No Self Interaction,No Self Interaction,No Self Interaction,No Self Interaction,No Self Interaction,No Self Interaction,No Self Interaction,No Self Interaction
TC24236,No Self Interaction,No Self Interaction,No Self Interaction,No Self Interaction,No Self Interaction,No Self Interaction,No Self Interaction,No Self Interaction
TC24237,No Self Interaction,No Self Interaction,No Self Interaction,No Self Interaction,No Self Interaction,No Self Interaction,No Self Interaction,No Self Interaction
TC24238,No Self Interaction,No Self Interaction,No Self Interaction,No Self Interaction,No Self Interaction,No Self Interaction,No Self Interaction,Ear Interaction
TC24239,No Self Interaction,No Self Interaction,Mouth Interaction,Ear Interaction,Other Self Interaction,No Self Interaction,No Self Interaction,No Self Interaction
TC24240,No Self Interaction,No Self Interaction,Mouth Interaction,Mouth Interaction,Other Self Interaction,Other Self Interaction,No Self Interaction,No Self Interaction
TC24241,No Self Interaction,No Self Interaction,No Self Interaction,No Self Interaction,No Self Interaction,No Self Interaction,No Self Interaction,No Self Interaction
TC24242,No Self Interaction,No Self Interaction,No Self Interaction,No Self Interaction,Eyes Interaction,No Self Interaction,No Self Interaction,No Self Interaction
TC24243,No Self Interaction,No Self Interaction,No Self Interaction,No Self Interaction,No Self Interaction,No Self Interaction,No Self Interaction,No Self Interaction
TC24244,No Self Interaction,No Self Interaction,No Self Interaction,No Self Interaction,No Self Interaction,No Self Interaction,No Self Interaction,Other Self Interaction
TC24245,No Self Interaction,No Self Interaction,Mouth Interaction,No Self Interaction,Other Self Interaction,No Self Interaction,No Self Interaction,No Self Interaction
TC24246,No Self Interaction,No Self Interaction,No Self Interaction,No Self Interaction,Other Self Interaction,No Self Interaction,No Self Interaction,No Self Interaction
TC24247,No Self Interaction,No Self Interaction,No Self Interaction,No Self Interaction,Other Self Interaction,Other Self Interaction,No Self Interaction,No Self Interaction
TC24248,No Self Interaction,No Self Interaction,No Self Interaction,No Self Interaction,No Self Interaction,No Self Interaction,No Self Interaction,No Self Interaction
TC24249,No Self Interaction,No Self Interaction,Mouth Interaction,Ear Interaction,Other Self Interaction,No Self Interaction,No Self Interaction,No Self Interaction
TC24250,No Self Interaction,No Self Interaction,No Self Interaction,No Self Interaction,No Self Interaction,No Self Interaction,No Self Interaction,No Self Interaction
TC24251,No Self Interaction,No Self Interaction,No Self Interaction,No Self Interaction,No Self Interaction,No Self Interaction,No Self Interaction,No Self Interaction
TC24252,No Self Interaction,No Self Interaction,No Self Interaction,No Self Interaction,No Self Interaction,No Self Interaction,No Self Interaction,No Self Interaction
TC24253,No Self Interaction,No Self Interaction,No Self Interaction,No Self Interaction,No Self Interaction,No Self Interaction,No Self Interaction,No Self Interaction
TC24254,No Self Interaction,No Self Interaction,No Self Interaction,No Self Interaction,No Self Interaction,No Self Interaction,No Self Interaction,No Self Interaction
TC24255,Mouth Interaction,Mouth Interaction,Mouth Interaction,Mouth Interaction,No Self Interaction,No Self Interaction,No Self Interaction,No Self Interaction
TC24256,Other Self Interaction,No Self Interaction,No Self Interaction,No Self Interaction,No Self Interaction,No Self Interaction,No Self Interaction,No Self Interaction
TC24257,No Self Interaction,No Self Interaction,No Self Interaction,No Self Interaction,No Self Interaction,No Self Interaction,No Self Interaction,No Self Interaction
TC24258,No Self Interaction,No Self Interaction,No Self Interaction,No Self Interaction,No Self Interaction,No Self Interaction,No Self Interaction,No Self Interaction
TC24259,No Self Interaction,No Self Interaction,No Self Interaction,No Self Interaction,No Self Interaction,No Self Interaction,No Self Interaction,No Self Interaction
TC24260,No Self Interaction,No Self Interaction,No Self Interaction,No Self Interaction,No Self Interaction,No Self Interaction,No Self Interaction,No Self Interaction
TC24261,Ear Interaction,No Self Interaction,Mouth Interaction,No Self Interaction,No Self Interaction,No Self Interaction,No Self Interaction,No Self Interaction
TC24262,No Self Interaction,No Self Interaction,No Self Interaction,No Self Interaction,No Self Interaction,No Self Interaction,No Self Interaction,Other Self Interaction
TC24263,No Self Interaction,No Self Interaction,No Self Interaction,No Self Interaction,No Self Interaction,No Self Interaction,No Self Interaction,No Self Interaction
TC24264,No Self Interaction,No Self Interaction,No Self Interaction,No Self Interaction,No Self Interaction,No Self Interaction,No Self Interaction,No Self Interaction
TC24265,No Self Interaction,No Self Interaction,No Self Interaction,No Self Interaction,No Self Interaction,No Self Interaction,No Self Interaction,No Self Interaction
TC24266,No Self Interaction,No Self Interaction,No Self Interaction,No Self Interaction,No Self Interaction,No Self Interaction,No Self Interaction,No Self Interaction
TC24267,No Self Interaction,No Self Interaction,Other Self Interaction,Mouth Interaction,Other Self Interaction,No Self Interaction,No Self Interaction,No Self Interaction
TC24268,No Self Interaction,No Self Interaction,No Self Interaction,No Self Interaction,No Self Interaction,No Self Interaction,No Self Interaction,No Self Interaction
TC24269,No Self Interaction,No Self Interaction,Mouth Interaction,Mouth Interaction,No Self Interaction,No Self Interaction,Other Self Interaction,No Self Interaction
TC24270,No Self Interaction,No Self Interaction,No Self Interaction,Mouth Interaction,No Self Interaction,No Self Interaction,No Self Interaction,No Self Interaction
TC24271,No Self Interaction,No Self Interaction,Mouth Interaction,Mouth Interaction,No Self Interaction,No Self Interaction,No Self Interaction,Ear Interaction
TC24272,No Self Interaction,No Self Interaction,Mouth Interaction,Mouth Interaction,No Self Interaction,No Self Interaction,No Self Interaction,Eyes Interaction
TC24273,No Self Interaction,No Self Interaction,No Self Interaction,No Self Interaction,No Self Interaction,No Self Interaction,No Self Interaction,No Self Interaction
TC24274,No Self Interaction,No Self Interaction,No Self Interaction,No Self Interaction,No Self Interaction,Other Self Interaction,No Self Interaction,No Self Interaction
TC24275,No Self Interaction,No Self Interaction,No Self Interaction,No Self Interaction,No Self Interaction,No Self Interaction,No Self Interaction,Other Self Interaction
TC24276,No Self Interaction,No Self Interaction,No Self Interaction,No Self Interaction,No Self Interaction,No Self Interaction,No Self Interaction,No Self Interaction
TC24277,No Self Interaction,No Self Interaction,Other Self Interaction,No Self Interaction,No Self Interaction,No Self Interaction,No Self Interaction,No Self Interaction
TC24278,No Self Interaction,No Self Interaction,No Self Interaction,No Self Interaction,No Self Interaction,No Self Interaction,No Self Interaction,No Self Interaction
TC24279,No Self Interaction,No Self Interaction,No Self Interaction,No Self Interaction,Other Self Interaction,No Self Interaction,No Self Interaction,Other Self Interaction
TC24280,No Self Interaction,No Self Interaction,No Self Interaction,No Self Interaction,No Self Interaction,No Self Interaction,No Self Interaction,No Self Interaction
TC24281,No Self Interaction,No Self Interaction,No Self Interaction,No Self Interaction,No Self Interaction,No Self Interaction,No Self Interaction,No Self Interaction
TC24282,No Self Interaction,No Self Interaction,No Self Interaction,No Self Interaction,No Self Interaction,No Self Interaction,No Self Interaction,No Self Interaction
TC24283,No Self Interaction,No Self Interaction,No Self Interaction,Ear Interaction,No Self Interaction,No Self Interaction,No Self Interaction,No Self Interaction
TC24284,No Self Interaction,No Self Interaction,No Self Interaction,No Self Interaction,Other Self Interaction,Other Self Interaction,No Self Interaction,No Self Interaction
TC24285,Ear Interaction,Ear Interaction,Mouth Interaction,Mouth Interaction,No Self Interaction,No Self Interaction,Other Self Interaction,No Self Interaction
TC24286,Ear Interaction,Ear Interaction,Mouth Interaction,Mouth Interaction,No Self Interaction,No Self Interaction,Mouth Interaction,Other Self Interaction
TC24287,No Self Interaction,No Self Interaction,Other Self Interaction,No Self Interaction,No Self Interaction,No Self Interaction,No Self Interaction,No Self Interaction
TC24289,No Self Interaction,No Self Interaction,No Self Interaction,No Self Interaction,No Self Interaction,No Self Interaction,No Self Interaction,No Self Interaction
TC24290,No Self Interaction,No Self Interaction,Mouth Interaction,Mouth Interaction,No Self Interaction,No Self Interaction,No Self Interaction,No Self Interaction
TC24291,No Self Interaction,No Self Interaction,No Self Interaction,No Self Interaction,No Self Interaction,No Self Interaction,No Self Interaction,No Self Interaction
TC24292,No Self Interaction,No Self Interaction,Mouth Interaction,Mouth Interaction,No Self Interaction,No Self Interaction,No Self Interaction,No Self Interaction
TC24293,Ear Interaction,Ear Interaction,Mouth Interaction,No Self Interaction,Other Self Interaction,Eyes Interaction,No Self Interaction,No Self Interaction
TC24294,No Self Interaction,No Self Interaction,No Self Interaction,Mouth Interaction,No Self Interaction,No Self Interaction,No Self Interaction,No Self Interaction
TC24295,No Self Interaction,No Self Interaction,Mouth Interaction,No Self Interaction,No Self Interaction,No Self Interaction,No Self Interaction,No Self Interaction
TC24296,No Self Interaction,No Self Interaction,Mouth Interaction,No Self Interaction,No Self Interaction,No Self Interaction,No Self Interaction,No Self Interaction
TC24297,No Self Interaction,No Self Interaction,No Self Interaction,No Self Interaction,No Self Interaction,No Self Interaction,No Self Interaction,No Self Interaction
TC24298,No Self Interaction,No Self Interaction,No Self Interaction,No Self Interaction,No Self Interaction,No Self Interaction,No Self Interaction,No Self Interaction
TC24299,No Self Interaction,No Self Interaction,No Self Interaction,Mouth Interaction,No Self Interaction,No Self Interaction,No Self Interaction,No Self Interaction
TC24300,No Self Interaction,No Self Interaction,No Self Interaction,No Self Interaction,No Self Interaction,No Self Interaction,No Self Interaction,No Self Interaction
TC24302,No Self Interaction,No Self Interaction,Mouth Interaction,Mouth Interaction,Mouth Interaction,No Self Interaction,No Self Interaction,No Self Interaction
TC24303,Ear Interaction,Ear Interaction,No Self Interaction,No Self Interaction,No Self Interaction,No Self Interaction,No Self Interaction,No Self Interaction
TC24304,No Self Interaction,No Self Interaction,No Self Interaction,No Self Interaction,No Self Interaction,No Self Interaction,No Self Interaction,No Self Interaction
TC24305,No Self Interaction,No Self Interaction,No Self Interaction,No Self Interaction,No Self Interaction,No Self Interaction,No Self Interaction,No Self Interaction
